,,,0
Junior программист С#,employment_uniques,Полная занятость,1
Junior программист С#,schedule_uniques,Полный день,1
Junior разработчик C++,experience_uniques,От 1 года до 3 лет,1
Junior разработчик C++,employment_uniques,Полная занятость,1
Junior разработчик C++,schedule_uniques,Гибкий график,1
Junior разработчик БД MS SQL,salary_from_uniques,60000.0,1
Junior разработчик БД MS SQL,salary_to_uniques,80000.0,1
Junior разработчик БД MS SQL,experience_uniques,Нет опыта,1
Junior разработчик БД MS SQL,employment_uniques,Полная занятость,1
Junior разработчик БД MS SQL,schedule_uniques,Полный день,1
Junior разработчик БД MS SQL,key_skills_uniques,SQL,1
Junior разработчик БД MS SQL,key_skills_uniques,MS SQL,1
Junior разработчик БД MS SQL,key_skills_uniques,Transact-SQL,1
Junior разработчик БД MS SQL,key_skills_uniques,Работа с базами данных,1
Kotlin/Java developer,salary_from_uniques,150000.0,1
Kotlin/Java developer,salary_to_uniques,200000.0,1
Kotlin/Java developer,experience_uniques,От 3 до 6 лет,1
Kotlin/Java developer,employment_uniques,Полная занятость,1
Kotlin/Java developer,schedule_uniques,Удаленная работа,1
Laravel разработчик (middle),experience_uniques,От 3 до 6 лет,1
Laravel разработчик (middle),employment_uniques,Полная занятость,1
Laravel разработчик (middle),schedule_uniques,Полный день,1
Laravel разработчик (middle),key_skills_uniques,PHP7+,1
Laravel разработчик (middle),key_skills_uniques,MySQL,1
Laravel разработчик (middle),key_skills_uniques,CentOS,1
Laravel разработчик (middle),key_skills_uniques,Laravel,1
Laravel разработчик (middle),key_skills_uniques,Nginx,1
Laravel разработчик (middle),key_skills_uniques,Git,1
Middle / Senior Android developer,experience_uniques,От 3 до 6 лет,1
Middle / Senior Android developer,employment_uniques,Полная занятость,1
Middle / Senior Android developer,schedule_uniques,Полный день,1
Middle / Senior Frontend Developer (Angular),salary_from_uniques,0.0,1
Middle / Senior Frontend Developer (Angular),salary_to_uniques,220000.0,1
Middle / Senior Frontend Developer (Angular),experience_uniques,От 3 до 6 лет,1
Middle / Senior Frontend Developer (Angular),employment_uniques,Полная занятость,1
Middle / Senior Frontend Developer (Angular),schedule_uniques,Удаленная работа,1
Middle / Senior Frontend Developer (Angular),key_skills_uniques,WebStorm,1
Middle / Senior Frontend Developer (Angular),key_skills_uniques,Material,1
Middle / Senior Frontend Developer (Angular),key_skills_uniques,Angular 2+,1
Middle / Senior Frontend Developer (Angular),key_skills_uniques,Prime,1
Middle / Senior Frontend Developer (Angular),key_skills_uniques,Clarity,1
Middle / Senior Frontend Developer (Angular),key_skills_uniques,GitLab,1
Middle Android Developer,experience_uniques,От 1 года до 3 лет,1
Middle Android Developer,employment_uniques,Полная занятость,1
Middle Android Developer,schedule_uniques,Полный день,1
Middle Android Developer,key_skills_uniques,ООП,1
Middle Android Developer,key_skills_uniques,kotlin,1
Middle Android Developer,key_skills_uniques,Java,1
Middle Android Developer,key_skills_uniques,Android,1
Middle Android разработчик (удаленно),salary_from_uniques,130000.0,1
Middle Android разработчик (удаленно),salary_to_uniques,0.0,1
Middle Android разработчик (удаленно),experience_uniques,От 3 до 6 лет,1
Middle Android разработчик (удаленно),employment_uniques,Полная занятость,1
Middle Android разработчик (удаленно),schedule_uniques,Полный день,1
Middle Android разработчик (удаленно),key_skills_uniques,Android,1
Middle C# Developer ASP.NET MVC,salary_from_uniques,0.0,1
Middle C# Developer ASP.NET MVC,salary_to_uniques,130000.0,1
Middle C# Developer ASP.NET MVC,experience_uniques,От 1 года до 3 лет,1
Middle C# Developer ASP.NET MVC,employment_uniques,Полная занятость,1
Middle C# Developer ASP.NET MVC,schedule_uniques,Удаленная работа,1
Middle C# Developer ASP.NET MVC,key_skills_uniques,JavaScript,1
Middle C# Developer ASP.NET MVC,key_skills_uniques,MVC,1
Middle C# Developer ASP.NET MVC,key_skills_uniques,.NET Framework,1
Middle C# Developer ASP.NET MVC,key_skills_uniques,HTML,1
Middle C# Developer ASP.NET MVC,key_skills_uniques,C#,1
Middle C# Developer ASP.NET MVC,key_skills_uniques,ASP.NET,1
Middle C# Developer ASP.NET MVC,key_skills_uniques,jQuery,1
Middle Front-end Developer (React.js),experience_uniques,От 3 до 6 лет,1
Middle Front-end Developer (React.js),employment_uniques,Полная занятость,1
Middle Front-end Developer (React.js),schedule_uniques,Гибкий график,1
Middle Frontend Developer,experience_uniques,От 1 года до 3 лет,1
Middle Frontend Developer,employment_uniques,Полная занятость,1
Middle Frontend Developer,schedule_uniques,Полный день,1
Middle Frontend Developer,key_skills_uniques,JavaScript,1
Middle Frontend Developer,key_skills_uniques,Typescript,1
Middle Frontend Developer,key_skills_uniques,CSS,1
Middle Frontend Developer,key_skills_uniques,Sass,1
Middle Frontend Developer,key_skills_uniques,AngularJS,1
"Middle Frontend developer / React, Next.js",salary_from_uniques,110000.0,1
"Middle Frontend developer / React, Next.js",salary_to_uniques,160000.0,1
"Middle Frontend developer / React, Next.js",experience_uniques,От 1 года до 3 лет,1
"Middle Frontend developer / React, Next.js",employment_uniques,Полная занятость,1
"Middle Frontend developer / React, Next.js",schedule_uniques,Полный день,1
"Middle Frontend developer / React, Next.js",key_skills_uniques,Python,1
"Middle Frontend developer / React, Next.js",key_skills_uniques,JavaScript,1
"Middle Frontend developer / React, Next.js",key_skills_uniques,HTML,1
"Middle Frontend developer / React, Next.js",key_skills_uniques,API,1
"Middle Frontend developer / React, Next.js",key_skills_uniques,react,1
"Middle Frontend developer / React, Next.js",key_skills_uniques,CSS,1
"Middle Frontend developer / React, Next.js",key_skills_uniques,Rest api,1
"Middle Frontend developer / React, Next.js",key_skills_uniques,JSON API,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",salary_from_uniques,80000.0,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",salary_to_uniques,130000.0,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",experience_uniques,От 1 года до 3 лет,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",employment_uniques,Полная занятость,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",schedule_uniques,Удаленная работа,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,Node.js,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,JavaScript,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,Git,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,ООП,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,Vue,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,React,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,TypeScript,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,Rx,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,AngularJS,1
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",key_skills_uniques,Gulp,1
Middle Java/Kotlin backend developer,salary_from_uniques,110000.0,1
Middle Java/Kotlin backend developer,salary_to_uniques,0.0,1
Middle Java/Kotlin backend developer,experience_uniques,От 3 до 6 лет,1
Middle Java/Kotlin backend developer,employment_uniques,Полная занятость,1
Middle Java/Kotlin backend developer,schedule_uniques,Гибкий график,1
Middle Java/Kotlin backend developer,key_skills_uniques,Spring Framework,1
Middle Java/Kotlin backend developer,key_skills_uniques,PostgreSQL,1
Middle Java/Kotlin backend developer,key_skills_uniques,Java,1
Middle Java/Kotlin backend developer,key_skills_uniques,Kotlin,1
Middle Javascript разработчик (React),salary_from_uniques,170000.0,1
Middle Javascript разработчик (React),salary_to_uniques,0.0,1
Middle Javascript разработчик (React),experience_uniques,От 1 года до 3 лет,1
Middle Javascript разработчик (React),employment_uniques,Полная занятость,1
Middle Javascript разработчик (React),schedule_uniques,Полный день,1
Middle Javascript разработчик (React),key_skills_uniques,Bootstrap,1
Middle Javascript разработчик (React),key_skills_uniques,JavaScript,1
Middle Javascript разработчик (React),key_skills_uniques,HTML,1
Middle Javascript разработчик (React),key_skills_uniques,Redux,1
Middle Javascript разработчик (React),key_skills_uniques,scss,1
Middle Javascript разработчик (React),key_skills_uniques,webpack,1
Middle Javascript разработчик (React),key_skills_uniques,React,1
Middle Javascript разработчик (React),key_skills_uniques,CSS,1
Middle PHP-разработчик,salary_from_uniques,0.0,1
Middle PHP-разработчик,salary_to_uniques,180000.0,1
Middle PHP-разработчик,experience_uniques,От 1 года до 3 лет,1
Middle PHP-разработчик,employment_uniques,Полная занятость,1
Middle PHP-разработчик,schedule_uniques,Полный день,1
Middle and Senior Front-end Developer,experience_uniques,От 3 до 6 лет,1
Middle and Senior Front-end Developer,employment_uniques,Полная занятость,1
Middle and Senior Front-end Developer,schedule_uniques,Удаленная работа,1
Middle and Senior Front-end Developer,key_skills_uniques,React.js,1
Middle and Senior Front-end Developer,key_skills_uniques,JavaScript,1
Middle and Senior Front-end Developer,key_skills_uniques,HTML5,1
Middle and Senior Front-end Developer,key_skills_uniques,Redux,1
Middle and Senior Front-end Developer,key_skills_uniques,CSS,1
Middle front-end разработчик,experience_uniques,От 3 до 6 лет,1
Middle front-end разработчик,employment_uniques,Полная занятость,1
Middle front-end разработчик,schedule_uniques,Полный день,1
Middle front-end разработчик,key_skills_uniques,JavaScript,1
Middle front-end разработчик,key_skills_uniques,HTML5,1
Middle front-end разработчик,key_skills_uniques,CSS3,1
Middle front-end разработчик,key_skills_uniques,jQuery,1
Middle front-end разработчик,key_skills_uniques,CSS,1
Middle front-end/full-stack веб разработчик,salary_from_uniques,110000.0,1
Middle front-end/full-stack веб разработчик,salary_to_uniques,0.0,1
Middle front-end/full-stack веб разработчик,experience_uniques,От 3 до 6 лет,1
Middle front-end/full-stack веб разработчик,employment_uniques,Полная занятость,1
Middle front-end/full-stack веб разработчик,schedule_uniques,Полный день,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,JavaScript,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,1С-Битрикс,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,HTML5,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,HTML,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,Git,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,CSS3,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,PHP,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,UX,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,CSS,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,Less,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,Gulp,1
Middle front-end/full-stack веб разработчик,key_skills_uniques,AngularJS,1
Middle frontend-разработчик,salary_from_uniques,0.0,1
Middle frontend-разработчик,salary_to_uniques,180000.0,1
Middle frontend-разработчик,experience_uniques,От 1 года до 3 лет,1
Middle frontend-разработчик,employment_uniques,Полная занятость,1
Middle frontend-разработчик,schedule_uniques,Полный день,1
Middle frontend-разработчик,key_skills_uniques,JavaScript,1
Middle frontend-разработчик,key_skills_uniques,БЭМ,1
Middle frontend-разработчик,key_skills_uniques,Git,1
Middle frontend-разработчик,key_skills_uniques,Vanilla.js,1
Middle frontend-разработчик,key_skills_uniques,react,1
Middle frontend-разработчик,key_skills_uniques,vue.js,1
Middle frontend-разработчик,key_skills_uniques,webpack,1
Middle iOS Developer,experience_uniques,От 1 года до 3 лет,1
Middle iOS Developer,employment_uniques,Полная занятость,1
Middle iOS Developer,schedule_uniques,Полный день,1
Middle iOS Developer,key_skills_uniques,ООП,1
Middle iOS Developer,key_skills_uniques,Objective-C,1
Middle iOS Developer,key_skills_uniques,Swift,1
Middle iOS Developer,key_skills_uniques,iOS,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",salary_from_uniques,80000.0,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",salary_to_uniques,220000.0,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",experience_uniques,От 3 до 6 лет,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",employment_uniques,Полная занятость,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",schedule_uniques,Удаленная работа,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",key_skills_uniques,MongoDB,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",key_skills_uniques,JavaScript,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",key_skills_uniques,HTML5,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",key_skills_uniques,Node.js,1
"Middle-Senior Backend developer (PHP, Node.js, MySQL, MongoDB)",key_skills_uniques,CSS,1
Middle-Senior Frontend Web Developer (Angular/React),salary_from_uniques,80000.0,1
Middle-Senior Frontend Web Developer (Angular/React),salary_to_uniques,220000.0,1
Middle-Senior Frontend Web Developer (Angular/React),experience_uniques,От 3 до 6 лет,1
Middle-Senior Frontend Web Developer (Angular/React),employment_uniques,Полная занятость,1
Middle-Senior Frontend Web Developer (Angular/React),schedule_uniques,Удаленная работа,1
Middle-Senior Frontend Web Developer (Angular/React),key_skills_uniques,JavaScript,1
Middle-Senior Frontend Web Developer (Angular/React),key_skills_uniques,HTML5,1
Middle-Senior Frontend Web Developer (Angular/React),key_skills_uniques,CSS3,1
Middle-Senior Frontend Web Developer (Angular/React),key_skills_uniques,Node.js,1
Middle-Senior Frontend Web Developer (Angular/React),key_skills_uniques,Sass,1
Middle-разработчик full-stack (Python/Django),salary_from_uniques,120000.0,1
Middle-разработчик full-stack (Python/Django),salary_to_uniques,150000.0,1
Middle-разработчик full-stack (Python/Django),experience_uniques,От 1 года до 3 лет,1
Middle-разработчик full-stack (Python/Django),employment_uniques,Полная занятость,1
Middle-разработчик full-stack (Python/Django),schedule_uniques,Полный день,1
Middle-разработчик full-stack (Python/Django),key_skills_uniques,SQL,1
Middle-разработчик full-stack (Python/Django),key_skills_uniques,HTML,1
Middle-разработчик full-stack (Python/Django),key_skills_uniques,Django,1
Middle-разработчик full-stack (Python/Django),key_skills_uniques,Linux,1
Middle-разработчик full-stack (Python/Django),key_skills_uniques,CSS,1
Middle-разработчик full-stack (Python/Django),key_skills_uniques,Python,1
Middle/Senior Android Developer,salary_from_uniques,150000.0,1
Middle/Senior Android Developer,salary_to_uniques,350000.0,1
Middle/Senior Android Developer,experience_uniques,От 3 до 6 лет,1
Middle/Senior Android Developer,employment_uniques,Полная занятость,1
Middle/Senior Android Developer,schedule_uniques,Гибкий график,1
Middle/Senior Android Developer,key_skills_uniques,JSON API,1
Middle/Senior Android Developer,key_skills_uniques,Java,1
Middle/Senior Android Developer,key_skills_uniques,Kotlin,1
Middle/Senior Android Developer,key_skills_uniques,Git,1
Middle/Senior Android Developer,key_skills_uniques,Android SDK,1
Middle/Senior Android Developer,key_skills_uniques,HTTP,1
Middle/Senior Front-end Angular Developer,experience_uniques,От 1 года до 3 лет,1
Middle/Senior Front-end Angular Developer,employment_uniques,Полная занятость,1
Middle/Senior Front-end Angular Developer,schedule_uniques,Гибкий график,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,MongoDB,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,HTML5,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,Git,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,TypeScript,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,Разработка ПО,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,CSS3,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,Веб-программирование,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,angular,1
Middle/Senior Front-end Angular Developer,key_skills_uniques,AngularJS,1
Middle/Senior Frontend Developer,salary_from_uniques,150000.0,1
Middle/Senior Frontend Developer,salary_to_uniques,300000.0,1
Middle/Senior Frontend Developer,experience_uniques,От 3 до 6 лет,2
Middle/Senior Frontend Developer,employment_uniques,Полная занятость,2
Middle/Senior Frontend Developer,schedule_uniques,Полный день,1
Middle/Senior Frontend Developer,schedule_uniques,Гибкий график,1
Middle/Senior Frontend Developer,key_skills_uniques,ООП,1
Middle/Senior Frontend Developer,key_skills_uniques,JavaScript,1
Middle/Senior Frontend Developer,key_skills_uniques,HTML,1
Middle/Senior Frontend Developer,key_skills_uniques,Vue.js,1
Middle/Senior Frontend Developer,key_skills_uniques,Git,1
Middle/Senior Frontend Developer,key_skills_uniques,CSS,1
"Middle/Senior Node.js разработчик (Backend, React)",salary_from_uniques,180000.0,1
"Middle/Senior Node.js разработчик (Backend, React)",salary_to_uniques,0.0,1
"Middle/Senior Node.js разработчик (Backend, React)",experience_uniques,От 1 года до 3 лет,1
"Middle/Senior Node.js разработчик (Backend, React)",employment_uniques,Частичная занятость,1
"Middle/Senior Node.js разработчик (Backend, React)",schedule_uniques,Удаленная работа,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,Bootstrap,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,Linux,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,Nginx,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,Git,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,ООП,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,Apache HTTP Server,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,Node.js,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,JSON API,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,MongoDB,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,JavaScript,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,API,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,PostgreSQL,1
"Middle/Senior Node.js разработчик (Backend, React)",key_skills_uniques,RESTfull,1
Middle/Senior Ruby-developer,salary_from_uniques,0.0,1
Middle/Senior Ruby-developer,salary_to_uniques,200000.0,1
Middle/Senior Ruby-developer,experience_uniques,От 3 до 6 лет,1
Middle/Senior Ruby-developer,employment_uniques,Полная занятость,1
Middle/Senior Ruby-developer,schedule_uniques,Удаленная работа,1
Middle/Senior Ruby-developer,key_skills_uniques,Git,1
Middle/Senior Ruby-developer,key_skills_uniques,Ruby On Rails,1
Middle/Senior Ruby-developer,key_skills_uniques,Ruby,1
Middle/Senior Ruby-developer,key_skills_uniques,Управление проектами,1
Middle/Senior Ruby-developer,key_skills_uniques,Менеджмент,1
Middle/Senior Ruby-developer,key_skills_uniques,Node.js,1
Middle/Senior iOS Developer,salary_from_uniques,150000.0,1
Middle/Senior iOS Developer,salary_to_uniques,350000.0,1
Middle/Senior iOS Developer,experience_uniques,От 3 до 6 лет,1
Middle/Senior iOS Developer,employment_uniques,Полная занятость,1
Middle/Senior iOS Developer,schedule_uniques,Гибкий график,1
Middle/Senior iOS Developer,key_skills_uniques,Objective-C,1
Middle/Senior iOS Developer,key_skills_uniques,Swift,1
Middle/Senior iOS Developer,key_skills_uniques,iOS,1
Middle/senior front-end developer на Angular,salary_from_uniques,0.0,1
Middle/senior front-end developer на Angular,salary_to_uniques,250000.0,1
Middle/senior front-end developer на Angular,experience_uniques,От 1 года до 3 лет,1
Middle/senior front-end developer на Angular,employment_uniques,Полная занятость,1
Middle/senior front-end developer на Angular,schedule_uniques,Полный день,1
Middle/senior front-end developer на Angular,key_skills_uniques,ООП,1
Middle/senior front-end developer на Angular,key_skills_uniques,Angular 2+,1
Middle/senior front-end developer на Angular,key_skills_uniques,Angular,1
Middle/senior front-end developer на Angular,key_skills_uniques,RxJs,1
PERL программист,salary_from_uniques,120000.0,1
PERL программист,salary_to_uniques,0.0,1
PERL программист,experience_uniques,От 1 года до 3 лет,1
PERL программист,employment_uniques,Полная занятость,1
PERL программист,schedule_uniques,Полный день,1
PHP - разработчик,experience_uniques,От 3 до 6 лет,1
PHP - разработчик,employment_uniques,Частичная занятость,1
PHP - разработчик,schedule_uniques,Удаленная работа,1
PHP Backend разработчик,experience_uniques,От 3 до 6 лет,1
PHP Backend разработчик,employment_uniques,Полная занятость,1
PHP Backend разработчик,schedule_uniques,Удаленная работа,1
PHP Backend разработчик,key_skills_uniques,PHP,1
PHP Backend разработчик,key_skills_uniques,MySQL,1
PHP Bitrix разработчик,salary_from_uniques,100000.0,1
PHP Bitrix разработчик,salary_to_uniques,120000.0,1
PHP Bitrix разработчик,experience_uniques,От 1 года до 3 лет,1
PHP Bitrix разработчик,employment_uniques,Полная занятость,1
PHP Bitrix разработчик,schedule_uniques,Полный день,1
PHP Bitrix разработчик,key_skills_uniques,Bootstrap,1
PHP Bitrix разработчик,key_skills_uniques,HTML,1
PHP Bitrix разработчик,key_skills_uniques,1С-Битрикс,1
PHP Bitrix разработчик,key_skills_uniques,JavaScript,1
PHP Bitrix разработчик,key_skills_uniques,PHP,1
PHP Bitrix разработчик,key_skills_uniques,React,1
PHP Bitrix разработчик,key_skills_uniques,Node.js,1
PHP Bitrix разработчик,key_skills_uniques,jQuery,1
PHP Bitrix разработчик,key_skills_uniques,CSS,1
PHP Developer,salary_from_uniques,1200.0,1
PHP Developer,salary_to_uniques,1800.0,1
PHP Developer,experience_uniques,От 3 до 6 лет,1
PHP Developer,employment_uniques,Полная занятость,1
PHP Developer,schedule_uniques,Удаленная работа,1
PHP Developer,key_skills_uniques,ООП,1
PHP Developer,key_skills_uniques,JavaScript,1
PHP Developer,key_skills_uniques,HTML,1
PHP Developer,key_skills_uniques,PHPUnit,1
PHP Developer,key_skills_uniques,PHP,1
PHP Developer,key_skills_uniques,SVN,1
PHP Developer,key_skills_uniques,MySQL,1
PHP Developer,key_skills_uniques,jQuery,1
PHP Developer,key_skills_uniques,CSS,1
PHP Developer (Full Stack),salary_from_uniques,80000.0,1
PHP Developer (Full Stack),salary_to_uniques,120000.0,1
PHP Developer (Full Stack),experience_uniques,От 3 до 6 лет,1
PHP Developer (Full Stack),employment_uniques,Полная занятость,1
PHP Developer (Full Stack),schedule_uniques,Удаленная работа,1
PHP Developer (Full Stack),key_skills_uniques,ООП,1
PHP Developer (Full Stack),key_skills_uniques,MySQL,1
PHP Developer (Full Stack),key_skills_uniques,HTML,1
PHP Developer (Full Stack),key_skills_uniques,Linux,1
PHP Developer (Full Stack),key_skills_uniques,Nginx,1
PHP Developer (Full Stack),key_skills_uniques,Git,1
PHP Developer (Full Stack),key_skills_uniques,JavaScript,1
PHP Developer (Full Stack),key_skills_uniques,PHP,1
PHP Developer (Full Stack),key_skills_uniques,Apache HTTP Server,1
PHP Developer (Full Stack),key_skills_uniques,jQuery,1
PHP Developer (Full Stack),key_skills_uniques,CSS,1
PHP Developer (PHP разработчик),salary_from_uniques,80000.0,1
PHP Developer (PHP разработчик),salary_to_uniques,160000.0,1
PHP Developer (PHP разработчик),experience_uniques,От 1 года до 3 лет,1
PHP Developer (PHP разработчик),employment_uniques,Полная занятость,1
PHP Developer (PHP разработчик),schedule_uniques,Полный день,1
PHP Developer (PHP разработчик),key_skills_uniques,RabbitMQ,1
PHP Developer (PHP разработчик),key_skills_uniques,ООП,1
PHP Developer (PHP разработчик),key_skills_uniques,SQL,1
PHP Developer (PHP разработчик),key_skills_uniques,Docker,1
PHP Developer (PHP разработчик),key_skills_uniques,PHP7,1
PHP Developer (PHP разработчик),key_skills_uniques,ElasticSearch,1
PHP Developer (PHP разработчик),key_skills_uniques,PostgreSQL,1
PHP Developer (PHP разработчик),key_skills_uniques,MySQL,1
PHP Developer (PHP разработчик),key_skills_uniques,Sphinx,1
PHP Developer (PHP разработчик),key_skills_uniques,Yii,1
PHP Developer (PHP разработчик),key_skills_uniques,Zabbix,1
PHP Developer (PHP разработчик),key_skills_uniques,PHP,1
PHP Developer (PHP разработчик),key_skills_uniques,Redis,1
PHP Developer (PHP разработчик),key_skills_uniques,Git,1
PHP Developer (PHP разработчик),key_skills_uniques,Nginx,1
PHP Developer (PHP разработчик),key_skills_uniques,Linux,1
PHP Developer (PHP разработчик),key_skills_uniques,Yii2,1
PHP Yii2 программист,salary_from_uniques,50000.0,1
PHP Yii2 программист,salary_to_uniques,90000.0,1
PHP Yii2 программист,experience_uniques,От 1 года до 3 лет,1
PHP Yii2 программист,employment_uniques,Полная занятость,1
PHP Yii2 программист,schedule_uniques,Удаленная работа,1
PHP Yii2 программист,key_skills_uniques,ООП,1
PHP Yii2 программист,key_skills_uniques,JavaScript,1
PHP Yii2 программист,key_skills_uniques,HTML,1
PHP Yii2 программист,key_skills_uniques,HTML5,1
PHP Yii2 программист,key_skills_uniques,yii2,1
PHP Yii2 программист,key_skills_uniques,Git,1
PHP Yii2 программист,key_skills_uniques,CSS3,1
PHP Yii2 программист,key_skills_uniques,SQL,1
PHP Yii2 программист,key_skills_uniques,PHP,1
PHP Yii2 программист,key_skills_uniques,SVN,1
PHP Yii2 программист,key_skills_uniques,MySQL,1
PHP Yii2 программист,key_skills_uniques,Yii,1
PHP back-end/fullstack разработчик,salary_from_uniques,120000.0,1
PHP back-end/fullstack разработчик,salary_to_uniques,0.0,1
PHP back-end/fullstack разработчик,experience_uniques,От 3 до 6 лет,1
PHP back-end/fullstack разработчик,employment_uniques,Полная занятость,1
PHP back-end/fullstack разработчик,schedule_uniques,Полный день,1
PHP back-end/fullstack разработчик,key_skills_uniques,MySQL,1
PHP back-end/fullstack разработчик,key_skills_uniques,HTML,1
PHP back-end/fullstack разработчик,key_skills_uniques,Symfony,1
PHP back-end/fullstack разработчик,key_skills_uniques,PostgreSQL,1
PHP back-end/fullstack разработчик,key_skills_uniques,Git,1
PHP back-end/fullstack разработчик,key_skills_uniques,JavaScript,1
PHP back-end/fullstack разработчик,key_skills_uniques,PHP,1
PHP back-end/fullstack разработчик,key_skills_uniques,MS SQL,1
PHP back-end/fullstack разработчик,key_skills_uniques,Ajax,1
PHP back-end/fullstack разработчик,key_skills_uniques,Laravel,1
PHP back-end/fullstack разработчик,key_skills_uniques,jQuery,1
PHP back-end/fullstack разработчик,key_skills_uniques,CSS,1
"PHP developer (Yii, Yii2)",salary_from_uniques,100000.0,1
"PHP developer (Yii, Yii2)",salary_to_uniques,120000.0,1
"PHP developer (Yii, Yii2)",experience_uniques,От 3 до 6 лет,1
"PHP developer (Yii, Yii2)",employment_uniques,Полная занятость,1
"PHP developer (Yii, Yii2)",schedule_uniques,Удаленная работа,1
PHP программист-разр‎аботчик (1С-Битрикс/Битрикс24),experience_uniques,От 3 до 6 лет,1
PHP программист-разр‎аботчик (1С-Битрикс/Битрикс24),employment_uniques,Полная занятость,1
PHP программист-разр‎аботчик (1С-Битрикс/Битрикс24),schedule_uniques,Полный день,1
PHP программист-разр‎аботчик (1С-Битрикс/Битрикс24),key_skills_uniques,JavaScript,1
PHP программист-разр‎аботчик (1С-Битрикс/Битрикс24),key_skills_uniques,CSS,1
PHP программист-разр‎аботчик (1С-Битрикс/Битрикс24),key_skills_uniques,MySQL,1
PHP программист-разр‎аботчик (1С-Битрикс/Битрикс24),key_skills_uniques,jQuery,1
PHP программист-разр‎аботчик (1С-Битрикс/Битрикс24),key_skills_uniques,1С-Битрикс,1
PHP разработчик,salary_from_uniques,120000.0,1
PHP разработчик,salary_to_uniques,200000.0,1
PHP разработчик,experience_uniques,От 1 года до 3 лет,1
PHP разработчик,employment_uniques,Полная занятость,1
PHP разработчик,schedule_uniques,Полный день,1
PHP разработчик,key_skills_uniques,PHP,1
PHP разработчик,key_skills_uniques,PostgreSQL,1
PHP разработчик,key_skills_uniques,Linux,1
PHP разработчик (Middle/Senior),salary_from_uniques,140000.0,1
